,1,2,3,4,5,6,7,8,9,10,11,12
A,0.323,0.312,0.326,0.328,0.327,0.326,0.328,0.329,0.246,0.314,0.268,0.303
B,0.307,0.321,0.345,0.319,0.330,0.328,0.338,0.313,0.273,0.300,0.252,0.231
C,0.331,0.245,0.282,0.397,0.279,0.237,0.300,0.309,0.372,0.363,0.371,0.372
D,0.346,0.305,0.342,0.308,0.352,0.308,0.343,0.303,0.346,0.336,0.337,0.328
E,0.320,0.311,0.321,0.311,0.298,0.285,0.350,0.307,0.286,0.295,0.323,0.347
F,0.305,0.315,0.324,0.327,0.308,0.302,0.346,0.307,0.325,0.274,0.330,0.324
G,0.310,0.317,0.318,0.315,0.319,0.319,0.322,0.318,0.319,0.316,0.309,0.322
H,0.263,0.279,0.295,0.289,0.343,0.322,0.371,0.354,0.294,0.299,0.339,0.326



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



