,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.040,0.041,0.044,0.352,0.315,0.318,0.318,0.388,0.339,0.379,0.328
B,0.041,0.040,0.041,0.043,0.310,0.311,0.309,0.305,0.392,0.333,0.366,0.326
C,0.357,0.335,0.359,0.303,0.321,0.298,0.310,0.307,0.255,0.336,0.218,0.319
D,0.410,0.329,0.353,0.329,0.303,0.303,0.304,0.307,0.374,0.336,0.363,0.282
E,0.378,0.330,0.341,0.311,0.354,0.311,0.330,0.340,0.389,0.362,0.378,0.366
F,0.330,0.328,0.381,0.347,0.307,0.307,0.347,0.352,0.387,0.339,0.372,0.335
G,0.040,0.039,0.040,0.038,0.039,0.038,0.039,0.040,0.040,0.042,0.040,0.040
H,0.039,0.041,0.042,0.040,0.039,0.039,0.039,0.038,0.041,0.039,0.039,0.044



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



