,1,2,3,4,5,6,7,8,9,10,11,12
A,0.309,0.319,0.336,0.292,0.294,0.308,0.305,0.290,0.239,0.253,0.300,0.247
B,0.305,0.305,0.335,0.307,0.317,0.306,0.297,0.290,0.280,0.289,0.281,0.274
C,0.329,0.256,0.277,0.314,0.301,0.227,0.289,0.291,0.336,0.346,0.344,0.339
D,0.301,0.294,0.265,0.293,0.296,0.291,0.331,0.291,0.316,0.327,0.320,0.327
E,0.323,0.299,0.317,0.318,0.274,0.258,0.294,0.229,0.263,0.315,0.336,0.342
F,0.303,0.302,0.303,0.305,0.295,0.289,0.303,0.306,0.329,0.299,0.327,0.345
G,0.311,0.355,0.306,0.310,0.309,0.334,0.324,0.333,0.305,0.304,0.299,0.307
H,0.291,0.290,0.291,0.290,0.269,0.322,0.323,0.341,0.297,0.271,0.328,0.343



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



