,1,2,3,4,5,6,7,8,9,10,11,12
A,0.293,0.041,0.271,0.039,0.300,0.041,0.321,0.039,0.374,0.042,0.360,0.036
B,0.041,0.250,0.038,0.241,0.047,0.304,0.033,0.310,0.038,0.341,0.038,0.279
C,0.314,0.045,0.310,0.042,0.333,0.038,0.343,0.037,0.354,0.040,0.341,0.363
D,0.041,0.256,0.038,0.259,0.233,0.322,0.042,0.307,0.042,0.345,0.036,0.344
E,0.294,0.043,0.290,0.040,0.338,0.042,0.357,0.041,0.291,0.045,0.296,0.041
F,0.040,0.275,0.042,0.278,0.043,0.339,0.042,0.344,0.042,0.284,0.040,0.295
G,0.289,0.274,0.282,0.038,0.340,0.270,0.368,0.298,0.293,0.294,0.286,0.038
H,0.039,0.262,0.040,0.282,0.037,0.317,0.040,0.342,0.301,0.226,0.040,0.241



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



