,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.041,0.170,0.041,0.248,0.042,0.222,0.041,0.247,0.042,0.270,0.040
B,0.046,0.289,0.040,0.228,0.047,0.282,0.042,0.287,0.041,0.331,0.039,0.326
C,0.056,0.051,0.173,0.043,0.258,0.040,0.224,0.043,0.259,0.042,0.278,0.046
D,0.040,0.298,0.040,0.236,0.044,0.291,0.045,0.296,0.041,0.332,0.044,0.323
E,0.259,0.044,0.298,0.040,0.235,0.042,0.175,0.041,0.248,0.044,0.284,0.041
F,0.040,0.283,0.042,0.272,0.041,0.254,0.042,0.290,0.040,0.218,0.043,0.264
G,0.258,0.039,0.276,0.039,0.242,0.217,0.219,0.235,0.236,0.040,0.229,0.041
H,0.044,0.270,0.042,0.268,0.038,0.282,0.039,0.255,0.043,0.214,0.041,0.289



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



