,1,2,3,4,5,6,7,8,9,10,11,12
A,0.322,0.314,0.304,0.297,0.329,0.310,0.292,0.291,0.330,0.311,0.327,0.322
B,0.319,0.322,0.305,0.289,0.331,0.298,0.307,0.291,0.343,0.308,0.335,0.301
C,0.344,0.342,0.319,0.314,0.346,0.339,0.328,0.306,0.335,0.297,0.329,0.285
D,0.331,0.331,0.318,0.260,0.341,0.328,0.298,0.293,0.344,0.296,0.339,0.295
E,0.348,0.322,0.297,0.292,0.354,0.307,0.322,0.336,0.313,0.292,0.349,0.286
F,0.268,0.320,0.272,0.290,0.349,0.291,0.246,0.233,0.242,0.266,0.337,0.306
G,0.357,0.349,0.349,0.344,0.348,0.334,0.346,0.339,0.362,0.332,0.347,0.317
H,0.357,0.344,0.365,0.349,0.350,0.315,0.347,0.336,0.361,0.345,0.353,0.341



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



