,1,2,3,4,5,6,7,8,9,10,11,12
A,0.300,0.048,0.298,0.041,0.298,0.042,0.339,0.041,0.366,0.043,0.351,0.037
B,0.054,0.283,0.042,0.232,0.049,0.294,0.041,0.305,0.040,0.324,0.040,0.318
C,0.311,0.062,0.322,0.044,0.323,0.040,0.338,0.041,0.361,0.042,0.355,0.262
D,0.048,0.230,0.042,0.212,0.224,0.294,0.042,0.302,0.041,0.317,0.040,0.328
E,0.289,0.049,0.292,0.043,0.343,0.043,0.366,0.043,0.288,0.043,0.297,0.042
F,0.042,0.275,0.045,0.273,0.048,0.318,0.045,0.352,0.042,0.310,0.040,0.223
G,0.287,0.261,0.279,0.041,0.345,0.274,0.369,0.291,0.290,0.293,0.290,0.039
H,0.044,0.254,0.046,0.267,0.041,0.334,0.049,0.337,0.047,0.318,0.047,0.217



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



