,1,2,3,4,5,6,7,8,9,10,11,12
A,0.251,0.042,0.180,0.039,0.307,0.039,0.232,0.038,0.277,0.039,0.251,0.040
B,0.041,0.273,0.038,0.255,0.043,0.307,0.036,0.307,0.039,0.327,0.039,0.317
C,0.173,0.049,0.265,0.039,0.305,0.037,0.295,0.038,0.276,0.039,0.309,0.240
D,0.039,0.231,0.037,0.221,0.250,0.322,0.038,0.302,0.039,0.330,0.038,0.330
E,0.280,0.041,0.279,0.038,0.306,0.039,0.278,0.037,0.305,0.039,0.303,0.039
F,0.038,0.278,0.040,0.279,0.042,0.295,0.040,0.275,0.040,0.286,0.039,0.285
G,0.285,0.040,0.292,0.037,0.343,0.038,0.257,0.302,0.296,0.040,0.297,0.039
H,0.039,0.260,0.038,0.278,0.037,0.337,0.039,0.271,0.039,0.225,0.038,0.286



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



