,1,2,3,4,5,6,7,8,9,10,11,12
A,0.284,0.037,0.313,0.039,0.296,0.039,0.229,0.041,0.290,0.039,0.266,0.038
B,0.038,0.248,0.039,0.231,0.042,0.314,0.042,0.300,0.040,0.323,0.040,0.308
C,0.197,0.038,0.220,0.039,0.302,0.039,0.232,0.041,0.280,0.040,0.314,0.039
D,0.038,0.250,0.038,0.243,0.272,0.319,0.041,0.296,0.039,0.327,0.040,0.326
E,0.293,0.038,0.296,0.039,0.323,0.039,0.274,0.038,0.296,0.039,0.296,0.037
F,0.039,0.282,0.039,0.288,0.040,0.334,0.040,0.268,0.038,0.286,0.040,0.281
G,0.275,0.040,0.280,0.039,0.339,0.040,0.263,0.274,0.289,0.039,0.303,0.039
H,0.038,0.264,0.038,0.283,0.038,0.328,0.038,0.264,0.039,0.225,0.038,0.295



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



