,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.043,0.178,0.043,0.254,0.044,0.223,0.044,0.255,0.045,0.259,0.046
B,0.044,0.282,0.044,0.289,0.047,0.306,0.054,0.291,0.048,0.317,0.047,0.315
C,0.039,0.044,0.176,0.041,0.266,0.044,0.225,0.045,0.248,0.045,0.250,0.044
D,0.041,0.278,0.042,0.267,0.046,0.292,0.044,0.257,0.043,0.310,0.044,0.313
E,0.265,0.041,0.292,0.042,0.244,0.043,0.219,0.042,0.253,0.043,0.284,0.043
F,0.043,0.252,0.042,0.281,0.043,0.257,0.044,0.281,0.042,0.220,0.044,0.263
G,0.261,0.049,0.292,0.042,0.256,0.041,0.214,0.253,0.237,0.042,0.236,0.043
H,0.043,0.241,0.044,0.289,0.041,0.290,0.041,0.261,0.044,0.219,0.042,0.279



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



