,1,2,3,4,5,6,7,8,9,10,11,12
A,0.318,0.313,0.283,0.290,0.324,0.296,0.312,0.294,0.337,0.296,0.338,0.282
B,0.326,0.343,0.304,0.297,0.330,0.301,0.305,0.241,0.339,0.308,0.343,0.294
C,0.350,0.345,0.314,0.334,0.347,0.330,0.327,0.310,0.331,0.301,0.331,0.286
D,0.335,0.332,0.300,0.274,0.345,0.335,0.313,0.303,0.338,0.307,0.331,0.301
E,0.352,0.313,0.294,0.291,0.342,0.304,0.303,0.341,0.336,0.273,0.339,0.289
F,0.289,0.338,0.301,0.279,0.342,0.281,0.251,0.236,0.303,0.256,0.342,0.301
G,0.352,0.285,0.348,0.341,0.353,0.327,0.343,0.329,0.349,0.338,0.343,0.282
H,0.344,0.327,0.341,0.335,0.334,0.292,0.331,0.324,0.330,0.324,0.331,0.318



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



