,1,2,3,4,5,6,7,8,9,10,11,12
A,0.169,0.044,0.308,0.040,0.290,0.043,0.224,0.039,0.256,0.043,0.251,0.038
B,0.049,0.290,0.039,0.258,0.051,0.300,0.030,0.311,0.039,0.338,0.037,0.359
C,0.037,0.058,0.188,0.045,0.296,0.039,0.227,0.038,0.272,0.041,0.262,0.043
D,0.042,0.310,0.039,0.276,0.266,0.307,0.040,0.318,0.043,0.328,0.036,0.329
E,0.284,0.042,0.293,0.038,0.283,0.042,0.265,0.039,0.285,0.043,0.286,0.042
F,0.038,0.247,0.041,0.267,0.040,0.287,0.040,0.263,0.041,0.175,0.038,0.284
G,0.272,0.040,0.279,0.038,0.286,0.040,0.264,0.284,0.285,0.041,0.286,0.038
H,0.038,0.253,0.039,0.266,0.037,0.325,0.042,0.260,0.040,0.217,0.042,0.292



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



