sample	evo_hist	strainID	target_f
3_p01_G03	anc	HAMBI_1977	0.8
3_p01_G03	anc	HAMBI_1896	0.1
3_p01_G04	anc	HAMBI_1287	0.1
3_p01_G04	anc	HAMBI_1977	0.8
3_p01_G04	evo	HAMBI_1896	0.1
3_p01_G05	anc	HAMBI_1287	0.1
3_p01_G05	evo	HAMBI_1977	0.1
3_p01_G05	anc	HAMBI_1896	0.8
3_p01_G06	anc	HAMBI_1287	0.1
3_p01_G06	evo	HAMBI_1977	0.1
3_p01_G06	evo	HAMBI_1896	0.8
3_p01_G07	anc	HAMBI_1287	0.1
3_p01_G07	evo	HAMBI_1977	0.8
3_p01_G07	anc	HAMBI_1896	0.1
3_p01_G08	anc	HAMBI_1287	0.1
3_p01_G08	evo	HAMBI_1977	0.8
3_p01_G08	evo	HAMBI_1896	0.1
3_p01_G09	anc	HAMBI_1287	0.8
3_p01_G09	anc	HAMBI_1977	0.1
3_p01_G09	anc	HAMBI_1896	0.1
3_p01_G10	anc	HAMBI_1287	0.8
3_p01_G10	anc	HAMBI_1977	0.1
3_p01_G10	evo	HAMBI_1896	0.1
3_p01_G11	anc	HAMBI_1287	0.8
3_p01_G11	evo	HAMBI_1977	0.1
3_p01_G11	anc	HAMBI_1896	0.1
3_p01_G12	anc	HAMBI_1287	0.8
3_p01_G12	evo	HAMBI_1977	0.1
3_p01_G12	evo	HAMBI_1896	0.1
3_p01_B01	evo	HAMBI_0403	0.1
3_p01_B01	anc	HAMBI_1287	0.1
3_p01_B01	anc	HAMBI_1896	0.8
3_p01_B02	evo	HAMBI_0403	0.1
3_p01_B02	anc	HAMBI_1287	0.1
3_p01_B02	anc	HAMBI_1977	0.8
3_p01_B03	evo	HAMBI_0403	0.1
3_p01_B03	anc	HAMBI_1287	0.1
3_p01_B03	evo	HAMBI_1896	0.8
3_p01_B04	evo	HAMBI_0403	0.1
3_p01_B04	anc	HAMBI_1287	0.1
3_p01_B04	evo	HAMBI_1977	0.8
3_p01_B05	evo	HAMBI_0403	0.1
3_p01_B05	anc	HAMBI_1287	0.8
3_p01_B05	anc	HAMBI_1896	0.1
3_p01_B06	evo	HAMBI_0403	0.1
3_p01_B06	anc	HAMBI_1287	0.8
3_p01_B06	anc	HAMBI_1977	0.1
3_p01_B07	evo	HAMBI_0403	0.1
3_p01_B07	anc	HAMBI_1287	0.8
3_p01_B07	evo	HAMBI_1896	0.1
3_p01_B08	evo	HAMBI_0403	0.1
3_p01_B08	anc	HAMBI_1287	0.8
3_p01_B08	evo	HAMBI_1977	0.1
3_p01_B09	evo	HAMBI_0403	0.1
3_p01_B09	anc	HAMBI_1977	0.1
3_p01_B09	anc	HAMBI_1896	0.8
3_p01_B10	evo	HAMBI_0403	0.1
3_p01_B10	anc	HAMBI_1977	0.1
3_p01_B10	evo	HAMBI_1896	0.8
3_p01_B11	evo	HAMBI_0403	0.1
3_p01_B11	anc	HAMBI_1977	0.8
3_p01_B11	anc	HAMBI_1896	0.1
3_p01_B12	evo	HAMBI_0403	0.1
3_p01_B12	anc	HAMBI_1977	0.8
3_p01_B12	evo	HAMBI_1896	0.1
3_p01_D01	evo	HAMBI_0403	0.1
3_p01_D01	evo	HAMBI_1287	0.1
3_p01_D01	anc	HAMBI_1896	0.8
3_p01_D02	evo	HAMBI_0403	0.1
3_p01_D02	evo	HAMBI_1287	0.1
3_p01_D02	anc	HAMBI_1977	0.8
3_p01_D03	evo	HAMBI_0403	0.1
3_p01_D03	evo	HAMBI_1287	0.1
3_p01_D03	evo	HAMBI_1896	0.8
3_p01_D04	evo	HAMBI_0403	0.1
