sample	microcosm_id	n_species	community_type	transfers	strep_conc	replicate	plate_well	plate_no	notes
3_p01_A01	1	3	experiment	8	0	1	A01	p01	
3_p01_A02	2	3	experiment	8	0	1	A02	p01	
3_p01_A03	3	3	experiment	8	0	1	A03	p01	
3_p01_A04	4	3	experiment	8	0	1	A04	p01	
3_p01_A05	5	3	experiment	8	0	1	A05	p01	
3_p01_A06	6	3	experiment	8	0	1	A06	p01	
3_p01_A07	7	3	experiment	8	0	1	A07	p01	
3_p01_A08	8	3	experiment	8	0	1	A08	p01	
3_p01_A09	9	3	experiment	8	0	1	A09	p01	
3_p01_A10	10	3	experiment	8	0	1	A10	p01	
3_p01_A11	11	3	experiment	8	0	1	A11	p01	
3_p01_A12	12	3	experiment	8	0	1	A12	p01	
3_p01_B01	49	3	experiment	8	0	1	B01	p01	
3_p01_B02	50	3	experiment	8	0	1	B02	p01	
3_p01_B03	51	3	experiment	8	0	1	B03	p01	
3_p01_B04	52	3	experiment	8	0	1	B04	p01	
3_p01_B05	53	3	experiment	8	0	1	B05	p01	
3_p01_B06	54	3	experiment	8	0	1	B06	p01	
3_p01_B07	55	3	experiment	8	0	1	B07	p01	
3_p01_B08	56	3	experiment	8	0	1	B08	p01	
3_p01_B09	57	3	experiment	8	0	1	B09	p01	
3_p01_B10	58	3	experiment	8	0	1	B10	p01	
3_p01_B11	59	3	experiment	8	0	1	B11	p01	
3_p01_B12	60	3	experiment	8	0	1	B12	p01	
3_p01_C01	13	3	experiment	8	0	1	C01	p01	
3_p01_C02	14	3	experiment	8	0	1	C02	p01	
3_p01_C03	15	3	experiment	8	0	1	C03	p01	
3_p01_C04	16	3	experiment	8	0	1	C04	p01	
3_p01_C05	17	3	experiment	8	0	1	C05	p01	
3_p01_C06	18	3	experiment	8	0	1	C06	p01	
3_p01_C07	19	3	experiment	8	0	1	C07	p01	
3_p01_C08	20	3	experiment	8	0	1	C08	p01	
3_p01_C09	21	3	experiment	8	0	1	C09	p01	
3_p01_C10	22	3	experiment	8	0	1	C10	p01	
3_p01_C11	23	3	experiment	8	0	1	C11	p01	
3_p01_C12	24	3	experiment	8	0	1	C12	p01	
3_p01_D01	61	3	experiment	8	0	1	D01	p01	
3_p01_D02	62	3	experiment	8	0	1	D02	p01	
3_p01_D03	63	3	experiment	8	0	1	D03	p01	
3_p01_D04	64	3	experiment	8	0	1	D04	p01	
3_p01_D05	65	3	experiment	8	0	1	D05	p01	
3_p01_D06	66	3	experiment	8	0	1	D06	p01	
3_p01_D07	67	3	experiment	8	0	1	D07	p01	
3_p01_D08	68	3	experiment	8	0	1	D08	p01	
3_p01_D09	69	3	experiment	8	0	1	D09	p01	
3_p01_D10	70	3	experiment	8	0	1	D10	p01	
3_p01_D11	71	3	experiment	8	0	1	D11	p01	
3_p01_D12	72	3	experiment	8	0	1	D12	p01	
3_p01_E01	25	3	experiment	8	0	1	E01	p01	
3_p01_E02	26	3	experiment	8	0	1	E02	p01	
3_p01_E03	27	3	experiment	8	0	1	E03	p01	
3_p01_E04	28	3	experiment	8	0	1	E04	p01	
3_p01_E05	29	3	experiment	8	0	1	E05	p01	
3_p01_E06	30	3	experiment	8	0	1	E06	p01	
3_p01_E07	31	3	experiment	8	0	1	E07	p01	
3_p01_E08	32	3	experiment	8	0	1	E08	p01	
3_p01_E09	33	3	experiment	8	0	1	E09	p01	
3_p01_E10	34	3	experiment	8	0	1	E10	p01	
3_p01_E11	35	3	experiment	8	0	1	E11	p01	
3_p01_E12	36	3	experiment	8	0	1	E12	p01	
3_p01_F01	73	3	experiment	8	0	1	F01	p01	
3_p01_F02	74	3	experiment	8	0	1	F02	p01	
3_p01_F03	75	3	experiment	8	0	1	F03	p01	
3_p01_F04	76	3	experiment	8	0	1	F04	p01	
3_p01_F05	77	3	experiment	8	0	1	F05	p01	
3_p01_F06	78	3	experiment	8	0	1	F06	p01	
3_p01_F07	79	3	experiment	8	0	1	F07	p01	
3_p01_F08	80	3	experiment	8	0	1	F08	p01	
3_p01_F09	81	3	experiment	8	0	1	F09	p01	
3_p01_F10	82	3	experiment	8	0	1	F10	p01	
3_p01_F11	83	3	experiment	8	0	1	F11	p01	
3_p01_F12	84	3	experiment	8	0	1	F12	p01	
3_p01_G01	37	3	experiment	8	0	1	G01	p01	
