,1,2,3,4,5,6,7,8,9,10,11,12
A,0.292,0.308,0.325,0.309,0.311,0.317,0.318,0.314,0.282,0.247,0.260,0.240
B,0.302,0.310,0.328,0.308,0.317,0.314,0.315,0.304,0.294,0.289,0.290,0.270
C,0.345,0.251,0.247,0.320,0.240,0.230,0.277,0.317,0.346,0.343,0.335,0.321
D,0.325,0.301,0.319,0.298,0.331,0.302,0.332,0.311,0.347,0.320,0.313,0.340
E,0.312,0.309,0.312,0.327,0.259,0.249,0.293,0.252,0.275,0.325,0.340,0.347
F,0.299,0.289,0.310,0.306,0.296,0.284,0.339,0.305,0.335,0.321,0.335,0.302
G,0.305,0.335,0.295,0.294,0.311,0.334,0.339,0.339,0.314,0.319,0.310,0.311
H,0.278,0.266,0.272,0.196,0.345,0.356,0.351,0.340,0.287,0.274,0.352,0.325



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



