,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.041,0.038,0.039,0.355,0.317,0.319,0.316,0.389,0.347,0.380,0.345
B,0.040,0.039,0.038,0.039,0.322,0.316,0.315,0.300,0.382,0.348,0.375,0.370
C,0.374,0.346,0.383,0.344,0.336,0.302,0.315,0.305,0.390,0.350,0.398,0.327
D,0.371,0.330,0.383,0.344,0.305,0.294,0.267,0.301,0.375,0.341,0.369,0.336
E,0.353,0.307,0.308,0.299,0.358,0.318,0.327,0.325,0.388,0.357,0.388,0.343
F,0.337,0.306,0.311,0.326,0.302,0.305,0.332,0.326,0.372,0.341,0.362,0.331
G,0.040,0.039,0.040,0.039,0.039,0.040,0.039,0.042,0.041,0.040,0.040,0.040
H,0.290,0.295,0.331,0.330,0.269,0.278,0.273,0.273,0.283,0.291,0.265,0.275



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



