,1,2,3,4,5,6,7,8,9,10,11,12
A,0.306,0.311,0.338,0.318,0.318,0.325,0.322,0.328,0.282,0.234,0.312,0.228
B,0.308,0.310,0.329,0.327,0.329,0.318,0.316,0.307,0.299,0.278,0.301,0.272
C,0.342,0.240,0.278,0.328,0.297,0.235,0.274,0.326,0.358,0.340,0.354,0.340
D,0.345,0.304,0.275,0.319,0.311,0.308,0.341,0.327,0.345,0.322,0.332,0.329
E,0.306,0.312,0.333,0.339,0.247,0.234,0.299,0.240,0.269,0.339,0.359,0.346
F,0.306,0.301,0.315,0.311,0.297,0.285,0.299,0.299,0.325,0.322,0.334,0.324
G,0.310,0.346,0.311,0.307,0.311,0.329,0.334,0.332,0.304,0.309,0.307,0.315
H,0.286,0.277,0.292,0.278,0.333,0.353,0.364,0.347,0.294,0.251,0.340,0.374



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



