,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.040,0.039,0.040,0.302,0.300,0.305,0.297,0.266,0.334,0.263,0.315
B,0.042,0.045,0.041,0.041,0.304,0.303,0.304,0.296,0.285,0.317,0.263,0.349
C,0.260,0.334,0.271,0.336,0.302,0.294,0.309,0.299,0.224,0.297,0.275,0.334
D,0.260,0.345,0.320,0.321,0.294,0.290,0.287,0.291,0.218,0.295,0.262,0.314
E,0.299,0.313,0.298,0.295,0.296,0.295,0.318,0.311,0.273,0.352,0.278,0.340
F,0.279,0.307,0.287,0.317,0.292,0.294,0.324,0.308,0.297,0.339,0.276,0.338
G,0.041,0.040,0.040,0.040,0.041,0.041,0.042,0.041,0.042,0.042,0.042,0.042
H,0.042,0.042,0.041,0.042,0.040,0.043,0.042,0.042,0.043,0.042,0.042,0.044



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



