,1,2,3,4,5,6,7,8,9,10,11,12
A,0.041,0.049,0.044,0.044,0.247,0.285,0.298,0.315,0.224,0.301,0.247,0.304
B,0.048,0.045,0.041,0.043,0.265,0.292,0.286,0.280,0.279,0.296,0.313,0.317
C,0.201,0.316,0.248,0.331,0.245,0.267,0.281,0.295,0.309,0.294,0.262,0.318
D,0.273,0.280,0.311,0.311,0.237,0.283,0.263,0.306,0.284,0.280,0.297,0.316
E,0.250,0.278,0.279,0.302,0.249,0.279,0.278,0.306,0.221,0.302,0.252,0.306
F,0.244,0.272,0.284,0.295,0.243,0.272,0.280,0.287,0.269,0.270,0.294,0.336
G,0.287,0.040,0.040,0.039,0.041,0.039,0.040,0.043,0.041,0.040,0.039,0.040
H,0.040,0.040,0.040,0.041,0.038,0.041,0.041,0.038,0.041,0.040,0.041,0.045



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



