,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.043,0.039,0.040,0.285,0.281,0.287,0.280,0.266,0.285,0.252,0.292
B,0.041,0.038,0.038,0.039,0.303,0.282,0.299,0.285,0.281,0.303,0.259,0.309
C,0.266,0.314,0.264,0.324,0.294,0.285,0.299,0.284,0.274,0.303,0.211,0.310
D,0.306,0.286,0.304,0.318,0.283,0.285,0.287,0.289,0.324,0.302,0.256,0.267
E,0.287,0.302,0.287,0.282,0.287,0.257,0.290,0.296,0.275,0.305,0.245,0.325
F,0.264,0.296,0.288,0.280,0.282,0.289,0.314,0.309,0.276,0.338,0.262,0.314
G,0.039,0.039,0.040,0.039,0.041,0.041,0.042,0.043,0.041,0.042,0.039,0.041
H,0.039,0.039,0.040,0.042,0.260,0.041,0.042,0.044,0.042,0.040,0.040,0.045



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



