,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.039,0.042,0.044,0.345,0.302,0.301,0.308,0.368,0.335,0.364,0.321
B,0.037,0.039,0.042,0.040,0.305,0.306,0.313,0.301,0.366,0.337,0.352,0.333
C,0.360,0.321,0.351,0.322,0.331,0.297,0.302,0.299,0.257,0.331,0.223,0.317
D,0.360,0.335,0.373,0.325,0.293,0.298,0.295,0.283,0.373,0.317,0.343,0.266
E,0.373,0.322,0.335,0.299,0.332,0.309,0.318,0.309,0.389,0.329,0.356,0.319
F,0.331,0.315,0.385,0.351,0.304,0.299,0.329,0.332,0.371,0.340,0.372,0.326
G,0.040,0.040,0.039,0.039,0.039,0.039,0.040,0.040,0.040,0.041,0.040,0.042
H,0.037,0.038,0.038,0.039,0.039,0.040,0.039,0.039,0.040,0.040,0.039,0.041



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



