,1,2,3,4,5,6,7,8,9,10,11,12
A,0.303,0.314,0.334,0.323,0.325,0.319,0.334,0.330,0.302,0.328,0.296,0.328
B,0.297,0.306,0.335,0.304,0.324,0.319,0.300,0.304,0.295,0.214,0.251,0.320
C,0.341,0.235,0.284,0.315,0.282,0.233,0.286,0.304,0.372,0.335,0.361,0.332
D,0.340,0.302,0.337,0.325,0.345,0.312,0.336,0.323,0.322,0.325,0.326,0.339
E,0.311,0.301,0.304,0.296,0.268,0.219,0.330,0.301,0.275,0.313,0.331,0.322
F,0.307,0.301,0.313,0.339,0.300,0.254,0.350,0.308,0.345,0.289,0.325,0.334
G,0.308,0.313,0.311,0.308,0.302,0.317,0.316,0.310,0.313,0.315,0.314,0.310
H,0.266,0.277,0.276,0.268,0.356,0.347,0.344,0.324,0.270,0.258,0.316,0.303



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



