,1,2,3,4,5,6,7,8,9,10,11,12
A,0.349,0.340,0.318,0.328,0.274,0.334,0.333,0.325,0.388,0.380,0.384,0.371
B,0.319,0.326,0.321,0.325,0.337,0.320,0.335,0.313,0.388,0.372,0.386,0.379
C,0.343,0.362,0.288,0.316,0.290,0.343,0.296,0.245,0.324,0.353,0.323,0.335
D,0.353,0.332,0.342,0.311,0.369,0.335,0.282,0.322,0.333,0.328,0.353,0.322
E,0.334,0.313,0.319,0.318,0.396,0.370,0.349,0.334,0.334,0.300,0.322,0.320
F,0.315,0.312,0.317,0.330,0.389,0.382,0.346,0.312,0.284,0.321,0.341,0.331
G,0.374,0.330,0.401,0.312,0.314,0.324,0.313,0.316,0.318,0.318,0.317,0.313
H,0.393,0.390,0.395,0.391,0.342,0.278,0.348,0.339,0.288,0.387,0.281,0.324



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



