,1,2,3,4,5,6,7,8,9,10,11,12
A,0.281,0.279,0.317,0.329,0.284,0.283,0.307,0.332,0.234,0.239,0.237,0.240
B,0.282,0.287,0.325,0.300,0.279,0.281,0.311,0.319,0.297,0.280,0.295,0.285
C,0.315,0.240,0.271,0.319,0.240,0.232,0.287,0.328,0.358,0.347,0.361,0.349
D,0.300,0.295,0.266,0.309,0.300,0.302,0.268,0.331,0.376,0.315,0.324,0.329
E,0.283,0.286,0.312,0.316,0.264,0.243,0.246,0.240,0.266,0.328,0.367,0.343
F,0.310,0.300,0.328,0.287,0.297,0.292,0.300,0.312,0.339,0.337,0.346,0.340
G,0.282,0.308,0.272,0.313,0.314,0.323,0.326,0.334,0.272,0.305,0.302,0.324
H,0.247,0.296,0.276,0.286,0.333,0.347,0.353,0.369,0.255,0.273,0.341,0.359



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



