,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.041,0.041,0.041,0.289,0.276,0.301,0.298,0.260,0.332,0.266,0.325
B,0.044,0.041,0.042,0.042,0.301,0.296,0.290,0.279,0.329,0.326,0.321,0.331
C,0.192,0.354,0.219,0.324,0.293,0.289,0.300,0.290,0.265,0.334,0.269,0.333
D,0.282,0.340,0.329,0.318,0.287,0.285,0.288,0.286,0.300,0.331,0.273,0.350
E,0.311,0.306,0.288,0.320,0.301,0.286,0.302,0.303,0.269,0.336,0.310,0.348
F,0.298,0.298,0.292,0.329,0.285,0.279,0.316,0.297,0.321,0.326,0.269,0.320
G,0.038,0.041,0.041,0.300,0.041,0.042,0.044,0.043,0.043,0.041,0.041,0.042
H,0.043,0.040,0.041,0.042,0.040,0.042,0.046,0.041,0.042,0.041,0.041,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



