,1,2,3,4,5,6,7,8,9,10,11,12
A,0.040,0.042,0.042,0.044,0.285,0.298,0.295,0.302,0.268,0.344,0.198,0.331
B,0.044,0.043,0.042,0.045,0.301,0.294,0.303,0.292,0.318,0.341,0.326,0.337
C,0.249,0.353,0.252,0.330,0.300,0.291,0.295,0.301,0.270,0.330,0.278,0.315
D,0.309,0.314,0.337,0.315,0.289,0.285,0.294,0.291,0.269,0.330,0.242,0.344
E,0.293,0.295,0.280,0.292,0.298,0.296,0.306,0.321,0.276,0.351,0.281,0.333
F,0.280,0.301,0.297,0.293,0.287,0.292,0.314,0.316,0.328,0.325,0.263,0.304
G,0.045,0.043,0.045,0.041,0.045,0.042,0.042,0.048,0.046,0.042,0.045,0.043
H,0.044,0.042,0.042,0.041,0.042,0.043,0.040,0.040,0.044,0.042,0.042,0.046



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



