,1,2,3,4,5,6,7,8,9,10,11,12
A,0.340,0.298,0.300,0.292,0.306,0.311,0.317,0.309,0.371,0.378,0.379,0.379
B,0.313,0.314,0.311,0.304,0.327,0.322,0.319,0.312,0.379,0.384,0.383,0.382
C,0.331,0.355,0.344,0.313,0.291,0.337,0.288,0.318,0.336,0.343,0.328,0.329
D,0.326,0.338,0.266,0.285,0.329,0.341,0.279,0.309,0.347,0.319,0.346,0.312
E,0.324,0.342,0.311,0.307,0.374,0.370,0.330,0.340,0.340,0.311,0.410,0.342
F,0.246,0.303,0.312,0.308,0.382,0.375,0.338,0.332,0.343,0.303,0.343,0.346
G,0.349,0.314,0.390,0.309,0.314,0.327,0.314,0.317,0.318,0.320,0.314,0.325
H,0.377,0.393,0.400,0.399,0.363,0.351,0.369,0.359,0.295,0.278,0.248,0.349



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



