sample	evo_hist	strainID	target_f
8_01	anc	HAMBI_0403	0.65
8_01	evo	HAMBI_0403	0.05
8_01	anc	HAMBI_1287	0.05
8_01	evo	HAMBI_1287	0.05
8_01	anc	HAMBI_1896	0.05
8_01	evo	HAMBI_1896	0.05
8_01	anc	HAMBI_1977	0.05
8_01	evo	HAMBI_1977	0.05
8_02	anc	HAMBI_0403	0.05
8_02	evo	HAMBI_0403	0.65
8_02	anc	HAMBI_1287	0.05
8_02	evo	HAMBI_1287	0.05
8_02	anc	HAMBI_1896	0.05
8_02	evo	HAMBI_1896	0.05
8_02	anc	HAMBI_1977	0.05
8_02	evo	HAMBI_1977	0.05
8_03	anc	HAMBI_0403	0.05
8_03	evo	HAMBI_0403	0.05
8_03	anc	HAMBI_1287	0.65
8_03	evo	HAMBI_1287	0.05
8_03	anc	HAMBI_1896	0.05
8_03	evo	HAMBI_1896	0.05
8_03	anc	HAMBI_1977	0.05
8_03	evo	HAMBI_1977	0.05
8_04	anc	HAMBI_0403	0.05
8_04	evo	HAMBI_0403	0.05
8_04	anc	HAMBI_1287	0.05
8_04	evo	HAMBI_1287	0.65
8_04	anc	HAMBI_1896	0.05
8_04	evo	HAMBI_1896	0.05
8_04	anc	HAMBI_1977	0.05
8_04	evo	HAMBI_1977	0.05
8_05	anc	HAMBI_0403	0.05
8_05	evo	HAMBI_0403	0.05
8_05	anc	HAMBI_1287	0.05
8_05	evo	HAMBI_1287	0.05
8_05	anc	HAMBI_1896	0.65
8_05	evo	HAMBI_1896	0.05
8_05	anc	HAMBI_1977	0.05
8_05	evo	HAMBI_1977	0.05
8_06	anc	HAMBI_0403	0.05
8_06	evo	HAMBI_0403	0.05
8_06	anc	HAMBI_1287	0.05
8_06	evo	HAMBI_1287	0.05
8_06	anc	HAMBI_1896	0.05
8_06	evo	HAMBI_1896	0.65
8_06	anc	HAMBI_1977	0.05
8_06	evo	HAMBI_1977	0.05
8_07	anc	HAMBI_0403	0.05
8_07	evo	HAMBI_0403	0.05
8_07	anc	HAMBI_1287	0.05
8_07	evo	HAMBI_1287	0.05
8_07	anc	HAMBI_1896	0.05
8_07	evo	HAMBI_1896	0.05
8_07	anc	HAMBI_1977	0.65
8_07	evo	HAMBI_1977	0.05
8_08	anc	HAMBI_0403	0.05
8_08	evo	HAMBI_0403	0.05
8_08	anc	HAMBI_1287	0.05
8_08	evo	HAMBI_1287	0.05
8_08	anc	HAMBI_1896	0.05
8_08	evo	HAMBI_1896	0.05
8_08	anc	HAMBI_1977	0.05
8_08	evo	HAMBI_1977	0.65
8_09	anc	HAMBI_0403	0.30
8_09	evo	HAMBI_0403	0.10
8_09	anc	HAMBI_1287	0.10
8_09	evo	HAMBI_1287	0.10
8_09	anc	HAMBI_1896	0.10
8_09	evo	HAMBI_1896	0.10
8_09	anc	HAMBI_1977	0.10
8_09	evo	HAMBI_1977	0.10
8_10	anc	HAMBI_0403	0.10
8_10	evo	HAMBI_0403	0.30
8_10	anc	HAMBI_1287	0.10
8_10	evo	HAMBI_1287	0.10
8_10	anc	HAMBI_1896	0.10
8_10	evo	HAMBI_1896	0.10
8_10	anc	HAMBI_1977	0.10
8_10	evo	HAMBI_1977	0.10
8_11	anc	HAMBI_0403	0.10
8_11	evo	HAMBI_0403	0.10
8_11	anc	HAMBI_1287	0.30
8_11	evo	HAMBI_1287	0.10
8_11	anc	HAMBI_1896	0.10
8_11	evo	HAMBI_1896	0.10
8_11	anc	HAMBI_1977	0.10
8_11	evo	HAMBI_1977	0.10
8_12	anc	HAMBI_0403	0.10
8_12	evo	HAMBI_0403	0.10
8_12	anc	HAMBI_1287	0.10
8_12	evo	HAMBI_1287	0.30
8_12	anc	HAMBI_1896	0.10
8_12	evo	HAMBI_1896	0.10
8_12	anc	HAMBI_1977	0.10
8_12	evo	HAMBI_1977	0.10
8_13	anc	HAMBI_0403	0.10
8_13	evo	HAMBI_0403	0.10
8_13	anc	HAMBI_1287	0.10
8_13	evo	HAMBI_1287	0.10
8_13	anc	HAMBI_1896	0.30
