,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.043,0.164,0.039,0.212,0.046,0.211,0.040,0.213,0.040,0.234,0.038
B,0.038,0.273,0.038,0.271,0.052,0.263,0.044,0.271,0.038,0.324,0.037,0.301
C,0.039,0.047,0.167,0.041,0.216,0.036,0.221,0.040,0.234,0.039,0.242,0.039
D,0.038,0.236,0.041,0.240,0.039,0.242,0.038,0.261,0.041,0.293,0.038,0.291
E,0.228,0.038,0.241,0.038,0.211,0.040,0.232,0.038,0.220,0.042,0.247,0.040
F,0.038,0.243,0.038,0.254,0.040,0.205,0.039,0.247,0.039,0.204,0.039,0.261
G,0.222,0.035,0.311,0.038,0.227,0.196,0.201,0.218,0.214,0.039,0.221,0.039
H,0.037,0.241,0.038,0.243,0.036,0.229,0.041,0.222,0.039,0.199,0.038,0.264



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



