,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.040,0.163,0.040,0.231,0.041,0.204,0.042,0.227,0.041,0.230,0.039
B,0.039,0.275,0.037,0.230,0.042,0.254,0.041,0.269,0.041,0.312,0.046,0.300
C,0.037,0.042,0.164,0.039,0.227,0.039,0.214,0.042,0.203,0.042,0.242,0.042
D,0.037,0.269,0.038,0.231,0.039,0.263,0.039,0.264,0.042,0.303,0.041,0.291
E,0.241,0.038,0.259,0.038,0.244,0.038,0.213,0.038,0.237,0.041,0.208,0.039
F,0.037,0.237,0.038,0.260,0.040,0.266,0.039,0.246,0.039,0.215,0.040,0.268
G,0.236,0.037,0.265,0.038,0.231,0.037,0.207,0.234,0.244,0.039,0.230,0.039
H,0.039,0.240,0.037,0.266,0.037,0.257,0.038,0.238,0.039,0.207,0.039,0.274



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



