,1,2,3,4,5,6,7,8,9,10,11,12
A,0.163,0.039,0.175,0.039,0.274,0.039,0.208,0.040,0.261,0.040,0.237,0.038
B,0.040,0.316,0.040,0.256,0.042,0.277,0.041,0.274,0.041,0.313,0.039,0.313
C,0.286,0.041,0.181,0.039,0.281,0.039,0.201,0.040,0.273,0.041,0.255,0.234
D,0.039,0.244,0.039,0.233,0.233,0.291,0.039,0.264,0.040,0.323,0.039,0.313
E,0.268,0.039,0.275,0.039,0.280,0.039,0.244,0.037,0.278,0.040,0.279,0.039
F,0.039,0.267,0.040,0.268,0.040,0.276,0.040,0.240,0.042,0.274,0.040,0.279
G,0.292,0.039,0.270,0.038,0.333,0.039,0.231,0.318,0.274,0.040,0.276,0.039
H,0.037,0.249,0.039,0.277,0.039,0.319,0.040,0.246,0.040,0.214,0.040,0.283



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



