,1,2,3,4,5,6,7,8,9,10,11,12
A,0.300,0.286,0.286,0.279,0.302,0.272,0.283,0.284,0.323,0.294,0.320,0.281
B,0.317,0.320,0.297,0.288,0.286,0.278,0.284,0.287,0.314,0.304,0.331,0.282
C,0.288,0.300,0.300,0.284,0.302,0.301,0.282,0.257,0.309,0.281,0.314,0.277
D,0.284,0.299,0.294,0.219,0.300,0.294,0.271,0.243,0.322,0.283,0.309,0.292
E,0.323,0.299,0.286,0.274,0.323,0.295,0.261,0.307,0.290,0.271,0.316,0.283
F,0.252,0.309,0.272,0.277,0.321,0.272,0.280,0.264,0.251,0.220,0.314,0.282
G,0.321,0.313,0.327,0.317,0.331,0.313,0.320,0.318,0.335,0.291,0.298,0.280
H,0.315,0.316,0.304,0.298,0.323,0.300,0.311,0.275,0.313,0.280,0.317,0.304



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



