,1,2,3,4,5,6,7,8,9,10,11,12
A,0.129,0.041,0.288,0.040,0.272,0.041,0.214,0.041,0.238,0.039,0.246,0.038
B,0.040,0.268,0.040,0.247,0.044,0.267,0.040,0.261,0.037,0.327,0.038,0.301
C,0.040,0.044,0.170,0.040,0.268,0.039,0.202,0.038,0.248,0.040,0.254,0.039
D,0.040,0.235,0.039,0.219,0.245,0.291,0.039,0.268,0.039,0.319,0.039,0.322
E,0.242,0.041,0.267,0.040,0.275,0.040,0.266,0.040,0.269,0.042,0.280,0.039
F,0.040,0.241,0.043,0.270,0.041,0.265,0.040,0.248,0.039,0.199,0.038,0.266
G,0.230,0.039,0.272,0.039,0.267,0.038,0.236,0.261,0.269,0.040,0.269,0.038
H,0.041,0.254,0.038,0.279,0.038,0.311,0.040,0.244,0.040,0.210,0.039,0.282



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



