sample	evo_hist	strainID	target_f
3_p03_A01	anc	HAMBI_0403	0.1
3_p03_A01	anc	HAMBI_1287	0.1
3_p03_A01	anc	HAMBI_1896	0.8
3_p03_A02	anc	HAMBI_0403	0.1
3_p03_A02	anc	HAMBI_1287	0.1
3_p03_A02	anc	HAMBI_1977	0.8
3_p03_A03	anc	HAMBI_0403	0.1
3_p03_A03	anc	HAMBI_1287	0.1
3_p03_A03	evo	HAMBI_1896	0.8
3_p03_A04	anc	HAMBI_0403	0.1
3_p03_A04	anc	HAMBI_1287	0.1
3_p03_A04	evo	HAMBI_1977	0.8
3_p03_A05	anc	HAMBI_0403	0.1
3_p03_A05	anc	HAMBI_1287	0.8
3_p03_A05	anc	HAMBI_1896	0.1
3_p03_A06	anc	HAMBI_0403	0.1
3_p03_A06	anc	HAMBI_1287	0.8
3_p03_A06	anc	HAMBI_1977	0.1
3_p03_A07	anc	HAMBI_0403	0.1
3_p03_A07	anc	HAMBI_1287	0.8
3_p03_A07	evo	HAMBI_1896	0.1
3_p03_A08	anc	HAMBI_0403	0.1
3_p03_A08	anc	HAMBI_1287	0.8
3_p03_A08	evo	HAMBI_1977	0.1
3_p03_A09	anc	HAMBI_0403	0.1
3_p03_A09	anc	HAMBI_1977	0.1
3_p03_A09	anc	HAMBI_1896	0.8
3_p03_A10	anc	HAMBI_0403	0.1
3_p03_A10	anc	HAMBI_1977	0.1
3_p03_A10	evo	HAMBI_1896	0.8
3_p03_A11	anc	HAMBI_0403	0.1
3_p03_A11	anc	HAMBI_1977	0.8
3_p03_A11	anc	HAMBI_1896	0.1
3_p03_A12	anc	HAMBI_0403	0.1
3_p03_A12	anc	HAMBI_1977	0.8
3_p03_A12	evo	HAMBI_1896	0.1
3_p03_C01	anc	HAMBI_0403	0.1
3_p03_C01	evo	HAMBI_1287	0.1
3_p03_C01	anc	HAMBI_1896	0.8
3_p03_C02	anc	HAMBI_0403	0.1
3_p03_C02	evo	HAMBI_1287	0.1
3_p03_C02	anc	HAMBI_1977	0.8
3_p03_C03	anc	HAMBI_0403	0.1
3_p03_C03	evo	HAMBI_1287	0.1
3_p03_C03	evo	HAMBI_1896	0.8
3_p03_C04	anc	HAMBI_0403	0.1
3_p03_C04	evo	HAMBI_1287	0.1
3_p03_C04	evo	HAMBI_1977	0.8
3_p03_C05	anc	HAMBI_0403	0.1
3_p03_C05	evo	HAMBI_1287	0.8
3_p03_C05	anc	HAMBI_1896	0.1
3_p03_C06	anc	HAMBI_0403	0.1
3_p03_C06	evo	HAMBI_1287	0.8
3_p03_C06	anc	HAMBI_1977	0.1
3_p03_C07	anc	HAMBI_0403	0.1
3_p03_C07	evo	HAMBI_1287	0.8
3_p03_C07	evo	HAMBI_1896	0.1
3_p03_C08	anc	HAMBI_0403	0.1
3_p03_C08	evo	HAMBI_1287	0.8
3_p03_C08	evo	HAMBI_1977	0.1
3_p03_C09	anc	HAMBI_0403	0.1
3_p03_C09	evo	HAMBI_1977	0.1
3_p03_C09	anc	HAMBI_1896	0.8
3_p03_C10	anc	HAMBI_0403	0.1
3_p03_C10	evo	HAMBI_1977	0.1
3_p03_C10	evo	HAMBI_1896	0.8
3_p03_C11	anc	HAMBI_0403	0.1
3_p03_C11	evo	HAMBI_1977	0.8
3_p03_C11	anc	HAMBI_1896	0.1
3_p03_C12	anc	HAMBI_0403	0.1
3_p03_C12	evo	HAMBI_1977	0.8
3_p03_C12	evo	HAMBI_1896	0.1
3_p03_E01	anc	HAMBI_0403	0.8
3_p03_E01	anc	HAMBI_1287	0.1
3_p03_E01	anc	HAMBI_1896	0.1
3_p03_E02	anc	HAMBI_0403	0.8
3_p03_E02	anc	HAMBI_1287	0.1
3_p03_E02	anc	HAMBI_1977	0.1
3_p03_E03	anc	HAMBI_0403	0.8
3_p03_E03	anc	HAMBI_1287	0.1
3_p03_E03	evo	HAMBI_1896	0.1
3_p03_E04	anc	HAMBI_0403	0.8
3_p03_E04	anc	HAMBI_1287	0.1
3_p03_E04	evo	HAMBI_1977	0.1
3_p03_E05	anc	HAMBI_0403	0.8
3_p03_E05	anc	HAMBI_1977	0.1
3_p03_E05	anc	HAMBI_1896	0.1
3_p03_E06	anc	HAMBI_0403	0.8
3_p03_E06	anc	HAMBI_1977	0.1
3_p03_E06	evo	HAMBI_1896	0.1
3_p03_E07	anc	HAMBI_0403	0.8
3_p03_E07	evo	HAMBI_1287	0.1
3_p03_E07	anc	HAMBI_1896	0.1
3_p03_E08	anc	HAMBI_0403	0.8
3_p03_E08	evo	HAMBI_1287	0.1
3_p03_E08	anc	HAMBI_1977	0.1
3_p03_E09	anc	HAMBI_0403	0.8
3_p03_E09	evo	HAMBI_1287	0.1
3_p03_E09	evo	HAMBI_1896	0.1
3_p03_E10	anc	HAMBI_0403	0.8
3_p03_E10	evo	HAMBI_1287	0.1
3_p03_E10	evo	HAMBI_1977	0.1
3_p03_E11	anc	HAMBI_0403	0.8
3_p03_E11	evo	HAMBI_1977	0.1
3_p03_E11	anc	HAMBI_1896	0.1
3_p03_E12	anc	HAMBI_0403	0.8
3_p03_E12	evo	HAMBI_1977	0.1
3_p03_E12	evo	HAMBI_1896	0.1
3_p03_G01	anc	HAMBI_1287	0.1
3_p03_G01	anc	HAMBI_1977	0.1
3_p03_G01	anc	HAMBI_1896	0.8
3_p03_G02	anc	HAMBI_1287	0.1
3_p03_G02	anc	HAMBI_1977	0.1
3_p03_G02	evo	HAMBI_1896	0.8
3_p03_G03	anc	HAMBI_1287	0.1
3_p03_G03	anc	HAMBI_1977	0.8
3_p03_G03	anc	HAMBI_1896	0.1
3_p03_G04	anc	HAMBI_1287	0.1
3_p03_G04	anc	HAMBI_1977	0.8
3_p03_G04	evo	HAMBI_1896	0.1
3_p03_G05	anc	HAMBI_1287	0.1
