community_id	evo_hist	strainID	target_f
P27	anc	HAMBI_0403	0.1
P27	anc	HAMBI_1896	0.9
P28	anc	HAMBI_0403	0.1
P28	evo	HAMBI_1896	0.9
P29	anc	HAMBI_0403	0.1
P29	anc	HAMBI_1287	0.9
P30	anc	HAMBI_0403	0.1
P30	evo	HAMBI_1287	0.9
P31	evo	HAMBI_0403	0.1
P31	anc	HAMBI_1977	0.9
P32	evo	HAMBI_0403	0.1
P32	evo	HAMBI_1977	0.9
P33	evo	HAMBI_0403	0.1
P33	anc	HAMBI_1896	0.9
P34	evo	HAMBI_0403	0.1
P34	evo	HAMBI_1896	0.9
P35	evo	HAMBI_0403	0.1
P35	anc	HAMBI_1287	0.9
P36	evo	HAMBI_0403	0.1
P36	evo	HAMBI_1287	0.9
P37	anc	HAMBI_1287	0.1
P37	anc	HAMBI_1977	0.9
P38	anc	HAMBI_1287	0.1
P38	evo	HAMBI_1977	0.9
P39	anc	HAMBI_1287	0.1
P39	anc	HAMBI_1896	0.9
P40	anc	HAMBI_1287	0.1
P40	evo	HAMBI_1896	0.9
P41	evo	HAMBI_1287	0.1
P41	anc	HAMBI_1977	0.9
P42	evo	HAMBI_1287	0.1
P42	evo	HAMBI_1977	0.9
P43	evo	HAMBI_1287	0.1
P43	anc	HAMBI_1896	0.9
P44	evo	HAMBI_1287	0.1
P44	evo	HAMBI_1896	0.9
P45	anc	HAMBI_1896	0.1
P45	anc	HAMBI_1977	0.9
P46	anc	HAMBI_1896	0.1
P46	evo	HAMBI_1977	0.9
P47	evo	HAMBI_1896	0.1
P47	anc	HAMBI_1977	0.9
P48	evo	HAMBI_1896	0.1
P48	evo	HAMBI_1977	0.9
T03	anc	HAMBI_0403	0.1
T03	anc	HAMBI_1287	0.1
T03	anc	HAMBI_1896	0.8
T15	anc	HAMBI_0403	0.1
T15	anc	HAMBI_1287	0.1
T15	evo	HAMBI_1896	0.8
T27	anc	HAMBI_0403	0.1
T27	anc	HAMBI_1287	0.1
T27	anc	HAMBI_1977	0.8
T39	anc	HAMBI_0403	0.1
T39	anc	HAMBI_1287	0.1
T39	evo	HAMBI_1977	0.8
T02	anc	HAMBI_0403	0.1
T02	anc	HAMBI_1287	0.8
T02	anc	HAMBI_1896	0.1
T14	anc	HAMBI_0403	0.1
T14	anc	HAMBI_1287	0.8
T14	evo	HAMBI_1896	0.1
T26	anc	HAMBI_0403	0.1
T26	anc	HAMBI_1287	0.8
T26	anc	HAMBI_1977	0.1
T38	anc	HAMBI_0403	0.1
T38	anc	HAMBI_1287	0.8
T38	evo	HAMBI_1977	0.1
T51	anc	HAMBI_0403	0.1
T51	anc	HAMBI_1896	0.1
T51	anc	HAMBI_1977	0.8
T63	anc	HAMBI_0403	0.1
T63	anc	HAMBI_1896	0.1
T63	evo	HAMBI_1977	0.8
T50	anc	HAMBI_0403	0.1
T50	anc	HAMBI_1896	0.8
T50	anc	HAMBI_1977	0.1
T62	anc	HAMBI_0403	0.1
T62	anc	HAMBI_1896	0.8
T62	evo	HAMBI_1977	0.1
T09	anc	HAMBI_0403	0.1
T09	evo	HAMBI_1287	0.1
T09	anc	HAMBI_1896	0.8
T21	anc	HAMBI_0403	0.1
T21	evo	HAMBI_1287	0.1
T21	evo	HAMBI_1896	0.8
T33	anc	HAMBI_0403	0.1
T33	evo	HAMBI_1287	0.1
T33	anc	HAMBI_1977	0.8
T45	anc	HAMBI_0403	0.1
T45	evo	HAMBI_1287	0.1
T45	evo	HAMBI_1977	0.8
T08	anc	HAMBI_0403	0.1
T08	evo	HAMBI_1287	0.8
T08	anc	HAMBI_1896	0.1
T20	anc	HAMBI_0403	0.1
T20	evo	HAMBI_1287	0.8
T20	evo	HAMBI_1896	0.1
T32	anc	HAMBI_0403	0.1
T32	evo	HAMBI_1287	0.8
T32	anc	HAMBI_1977	0.1
T44	anc	HAMBI_0403	0.1
T44	evo	HAMBI_1287	0.8
T44	evo	HAMBI_1977	0.1
T57	anc	HAMBI_0403	0.1
T57	evo	HAMBI_1896	0.1
T57	anc	HAMBI_1977	0.8
T69	anc	HAMBI_0403	0.1
T69	evo	HAMBI_1896	0.1
T69	evo	HAMBI_1977	0.8
T56	anc	HAMBI_0403	0.1
T56	evo	HAMBI_1896	0.8
T56	anc	HAMBI_1977	0.1
T68	anc	HAMBI_0403	0.1
T68	evo	HAMBI_1896	0.8
T68	evo	HAMBI_1977	0.1
T01	anc	HAMBI_0403	0.8
T01	anc	HAMBI_1287	0.1
T01	anc	HAMBI_1896	0.1
T13	anc	HAMBI_0403	0.8
T13	anc	HAMBI_1287	0.1
T13	evo	HAMBI_1896	0.1
T25	anc	HAMBI_0403	0.8
T25	anc	HAMBI_1287	0.1
T25	anc	HAMBI_1977	0.1
T37	anc	HAMBI_0403	0.8
T37	anc	HAMBI_1287	0.1
T37	evo	HAMBI_1977	0.1
T49	anc	HAMBI_0403	0.8
T49	anc	HAMBI_1896	0.1
T49	anc	HAMBI_1977	0.1
T61	anc	HAMBI_0403	0.8
T61	anc	HAMBI_1896	0.1
T61	evo	HAMBI_1977	0.1
T07	anc	HAMBI_0403	0.8
T07	evo	HAMBI_1287	0.1
T07	anc	HAMBI_1896	0.1
T19	anc	HAMBI_0403	0.8
T19	evo	HAMBI_1287	0.1
T19	evo	HAMBI_1896	0.1
T31	anc	HAMBI_0403	0.8
T31	evo	HAMBI_1287	0.1
T31	anc	HAMBI_1977	0.1
T43	anc	HAMBI_0403	0.8
T43	evo	HAMBI_1287	0.1
T43	evo	HAMBI_1977	0.1
T55	anc	HAMBI_0403	0.8
T55	evo	HAMBI_1896	0.1
T55	anc	HAMBI_1977	0.1
T67	anc	HAMBI_0403	0.8
T67	evo	HAMBI_1896	0.1
T67	evo	HAMBI_1977	0.1
T75	anc	HAMBI_1287	0.1
T75	anc	HAMBI_1896	0.1
T75	anc	HAMBI_1977	0.8
T87	anc	HAMBI_1287	0.1
T87	anc	HAMBI_1896	0.1
T87	evo	HAMBI_1977	0.8
T74	anc	HAMBI_1287	0.1
T74	anc	HAMBI_1896	0.8
T74	anc	HAMBI_1977	0.1
T86	anc	HAMBI_1287	0.1
T86	anc	HAMBI_1896	0.8
T86	evo	HAMBI_1977	0.1
T81	anc	HAMBI_1287	0.1
T81	evo	HAMBI_1896	0.1
T81	anc	HAMBI_1977	0.8
T93	anc	HAMBI_1287	0.1
T93	evo	HAMBI_1896	0.1
T93	evo	HAMBI_1977	0.8
T80	anc	HAMBI_1287	0.1
T80	evo	HAMBI_1896	0.8
T80	anc	HAMBI_1977	0.1
T92	anc	HAMBI_1287	0.1
T92	evo	HAMBI_1896	0.8
T92	evo	HAMBI_1977	0.1
T73	anc	HAMBI_1287	0.8
T73	anc	HAMBI_1896	0.1
T73	anc	HAMBI_1977	0.1
T85	anc	HAMBI_1287	0.8
T85	anc	HAMBI_1896	0.1
T85	evo	HAMBI_1977	0.1
T79	anc	HAMBI_1287	0.8
T79	evo	HAMBI_1896	0.1
T79	anc	HAMBI_1977	0.1
T91	anc	HAMBI_1287	0.8
T91	evo	HAMBI_1896	0.1
T91	evo	HAMBI_1977	0.1
T06	evo	HAMBI_0403	0.1
T06	anc	HAMBI_1287	0.1
T06	anc	HAMBI_1896	0.8
T18	evo	HAMBI_0403	0.1
T18	anc	HAMBI_1287	0.1
T18	evo	HAMBI_1896	0.8
T30	evo	HAMBI_0403	0.1
T30	anc	HAMBI_1287	0.1
T30	anc	HAMBI_1977	0.8
T42	evo	HAMBI_0403	0.1
T42	anc	HAMBI_1287	0.1
T42	evo	HAMBI_1977	0.8
T05	evo	HAMBI_0403	0.1
T05	anc	HAMBI_1287	0.8
T05	anc	HAMBI_1896	0.1
T17	evo	HAMBI_0403	0.1
T17	anc	HAMBI_1287	0.8
T17	evo	HAMBI_1896	0.1
T29	evo	HAMBI_0403	0.1
T29	anc	HAMBI_1287	0.8
T29	anc	HAMBI_1977	0.1
T41	evo	HAMBI_0403	0.1
T41	anc	HAMBI_1287	0.8
T41	evo	HAMBI_1977	0.1
T54	evo	HAMBI_0403	0.1
T54	anc	HAMBI_1896	0.1
T54	anc	HAMBI_1977	0.8
T66	evo	HAMBI_0403	0.1
T66	anc	HAMBI_1896	0.1
T66	evo	HAMBI_1977	0.8
T53	evo	HAMBI_0403	0.1
T53	anc	HAMBI_1896	0.8
T53	anc	HAMBI_1977	0.1
T65	evo	HAMBI_0403	0.1
T65	anc	HAMBI_1896	0.8
T65	evo	HAMBI_1977	0.1
T12	evo	HAMBI_0403	0.1
T12	evo	HAMBI_1287	0.1
T12	anc	HAMBI_1896	0.8
T24	evo	HAMBI_0403	0.1
T24	evo	HAMBI_1287	0.1
T24	evo	HAMBI_1896	0.8
T36	evo	HAMBI_0403	0.1
T36	evo	HAMBI_1287	0.1
T36	anc	HAMBI_1977	0.8
T48	evo	HAMBI_0403	0.1
T48	evo	HAMBI_1287	0.1
T48	evo	HAMBI_1977	0.8
T11	evo	HAMBI_0403	0.1
T11	evo	HAMBI_1287	0.8
T11	anc	HAMBI_1896	0.1
T23	evo	HAMBI_0403	0.1
T23	evo	HAMBI_1287	0.8
T23	evo	HAMBI_1896	0.1
T35	evo	HAMBI_0403	0.1
T35	evo	HAMBI_1287	0.8
T35	anc	HAMBI_1977	0.1
T47	evo	HAMBI_0403	0.1
T47	evo	HAMBI_1287	0.8
T47	evo	HAMBI_1977	0.1
T60	evo	HAMBI_0403	0.1
T60	evo	HAMBI_1896	0.1
T60	anc	HAMBI_1977	0.8
T72	evo	HAMBI_0403	0.1
T72	evo	HAMBI_1896	0.1
T72	evo	HAMBI_1977	0.8
T59	evo	HAMBI_0403	0.1
T59	evo	HAMBI_1896	0.8
T59	anc	HAMBI_1977	0.1
T71	evo	HAMBI_0403	0.1
T71	evo	HAMBI_1896	0.8
T71	evo	HAMBI_1977	0.1
T04	evo	HAMBI_0403	0.8
T04	anc	HAMBI_1287	0.1
T04	anc	HAMBI_1896	0.1
T16	evo	HAMBI_0403	0.8
T16	anc	HAMBI_1287	0.1
T16	evo	HAMBI_1896	0.1
T28	evo	HAMBI_0403	0.8
T28	anc	HAMBI_1287	0.1
T28	anc	HAMBI_1977	0.1
T40	evo	HAMBI_0403	0.8
T40	anc	HAMBI_1287	0.1
T40	evo	HAMBI_1977	0.1
T52	evo	HAMBI_0403	0.8
T52	anc	HAMBI_1896	0.1
T52	anc	HAMBI_1977	0.1
T64	evo	HAMBI_0403	0.8
T64	anc	HAMBI_1896	0.1
T64	evo	HAMBI_1977	0.1
T10	evo	HAMBI_0403	0.8
T10	evo	HAMBI_1287	0.1
T10	anc	HAMBI_1896	0.1
T22	evo	HAMBI_0403	0.8
T22	evo	HAMBI_1287	0.1
T22	evo	HAMBI_1896	0.1
T34	evo	HAMBI_0403	0.8
T34	evo	HAMBI_1287	0.1
T34	anc	HAMBI_1977	0.1
T46	evo	HAMBI_0403	0.8
T46	evo	HAMBI_1287	0.1
T46	evo	HAMBI_1977	0.1
T58	evo	HAMBI_0403	0.8
T58	evo	HAMBI_1896	0.1
T58	anc	HAMBI_1977	0.1
T70	evo	HAMBI_0403	0.8
T70	evo	HAMBI_1896	0.1
T70	evo	HAMBI_1977	0.1
T78	evo	HAMBI_1287	0.1
T78	anc	HAMBI_1896	0.1
T78	anc	HAMBI_1977	0.8
T90	evo	HAMBI_1287	0.1
T90	anc	HAMBI_1896	0.1
T90	evo	HAMBI_1977	0.8
T77	evo	HAMBI_1287	0.1
T77	anc	HAMBI_1896	0.8
T77	anc	HAMBI_1977	0.1
T89	evo	HAMBI_1287	0.1
T89	anc	HAMBI_1896	0.8
T89	evo	HAMBI_1977	0.1
T84	evo	HAMBI_1287	0.1
T84	evo	HAMBI_1896	0.1
T84	anc	HAMBI_1977	0.8
T96	evo	HAMBI_1287	0.1
T96	evo	HAMBI_1896	0.1
T96	evo	HAMBI_1977	0.8
T83	evo	HAMBI_1287	0.1
T83	evo	HAMBI_1896	0.8
T83	anc	HAMBI_1977	0.1
T95	evo	HAMBI_1287	0.1
T95	evo	HAMBI_1896	0.8
T95	evo	HAMBI_1977	0.1
T76	evo	HAMBI_1287	0.8
T76	anc	HAMBI_1896	0.1
T76	anc	HAMBI_1977	0.1
T88	evo	HAMBI_1287	0.8
T88	anc	HAMBI_1896	0.1
T88	evo	HAMBI_1977	0.1
T82	evo	HAMBI_1287	0.8
T82	evo	HAMBI_1896	0.1
T82	anc	HAMBI_1977	0.1
T94	evo	HAMBI_1287	0.8
T94	evo	HAMBI_1896	0.1
T94	evo	HAMBI_1977	0.1
