transfers	n_species	community_id	strep_conc	replicate	OD
3	2	P24	0	1	0.313
5	2	P24	0	1	0.279
7	2	P24	0	1	0.323
8	2	P24	0	1	0.296
1	2	P24	0	2	0.571
3	2	P24	0	2	0.324
5	2	P24	0	2	0.318
7	2	P24	0	2	0.316
8	2	P24	0	2	0.318
1	2	P24	16	1	0.577
3	2	P24	16	1	0.313
5	2	P24	16	1	0.317
7	2	P24	16	1	0.314
8	2	P24	16	1	0.319
1	2	P24	16	2	0.594
3	2	P24	16	2	0.309
5	2	P24	16	2	0.308
7	2	P24	16	2	0.312
8	2	P24	16	2	0.317
1	2	P24	64	1	0.593
3	2	P24	64	1	0.301
5	2	P24	64	1	0.359
7	2	P24	64	1	0.31
8	2	P24	64	1	0.282
1	2	P24	64	2	0.476
3	2	P24	64	2	0.309
5	2	P24	64	2	0.307
7	2	P24	64	2	0.317
8	2	P24	64	2	0.308
1	2	P24	256	1	0.458
3	2	P24	256	1	0.301
5	2	P24	256	1	0.326
7	2	P24	256	1	0.305
8	2	P24	256	1	0.327
1	2	P24	256	2	0.658
3	2	P24	256	2	0.3
5	2	P24	256	2	0.315
7	2	P24	256	2	0.31
8	2	P24	256	2	0.316
1	2	P25	0	1	0.845
3	2	P25	0	1	0.269
5	2	P25	0	1	0.314
7	2	P25	0	1	0.29
8	2	P25	0	1	0.328
1	2	P25	0	2	0.839
3	2	P25	0	2	0.304
5	2	P25	0	2	0.311
7	2	P25	0	2	0.268
8	2	P25	0	2	0.297
1	2	P25	16	1	0.544
3	2	P25	16	1	0.286
5	2	P25	16	1	0.173
7	2	P25	16	1	0.297
8	2	P25	16	1	0.29
1	2	P25	16	2	0.67
3	2	P25	16	2	0.228
5	2	P25	16	2	0.197
7	2	P25	16	2	0.396
8	2	P25	16	2	0.255
1	2	P25	64	1	0.037
3	2	P25	64	1	0.04
5	2	P25	64	1	0.037
7	2	P25	64	1	0.038
8	2	P25	64	1	0.039
1	2	P25	64	2	0.039
3	2	P25	64	2	0.04
5	2	P25	64	2	0.039
7	2	P25	64	2	0.039
8	2	P25	64	2	0.041
1	2	P25	256	1	0.039
3	2	P25	256	1	0.039
5	2	P25	256	1	0.056
7	2	P25	256	1	0.037
8	2	P25	256	1	0.039
1	2	P25	256	2	0.036
3	2	P25	256	2	0.037
5	2	P25	256	2	0.039
7	2	P25	256	2	0.04
8	2	P25	256	2	0.043
1	2	P26	0	1	0.693
3	2	P26	0	1	0.296
5	2	P26	0	1	0.256
7	2	P26	0	1	0.245
8	2	P26	0	1	0.237
1	2	P26	0	2	0.835
3	2	P26	0	2	0.322
5	2	P26	0	2	0.23
7	2	P26	0	2	0.282
8	2	P26	0	2	0.25
1	2	P26	16	1	0.79
3	2	P26	16	1	0.244
5	2	P26	16	1	0.231
7	2	P26	16	1	0.264
8	2	P26	16	1	0.238
1	2	P26	16	2	0.801
3	2	P26	16	2	0.272
5	2	P26	16	2	0.25
7	2	P26	16	2	0.348
8	2	P26	16	2	0.29
1	2	P26	64	1	0.702
3	2	P26	64	1	0.235
5	2	P26	64	1	0.31
7	2	P26	64	1	0.292
8	2	P26	64	1	0.267
1	2	P26	64	2	0.711
3	2	P26	64	2	0.277
5	2	P26	64	2	0.226
7	2	P26	64	2	0.219
8	2	P26	64	2	0.306
1	2	P26	256	1	0.808
3	2	P26	256	1	0.236
5	2	P26	256	1	0.298
7	2	P26	256	1	0.262
8	2	P26	256	1	0.279
1	2	P26	256	2	0.723
3	2	P26	256	2	0.269
5	2	P26	256	2	0.278
7	2	P26	256	2	0.281
8	2	P26	256	2	0.249
1	2	P27	0	1	0.376
3	2	P27	0	1	0.265
5	2	P27	0	1	0.289
7	2	P27	0	1	0.289
8	2	P27	0	1	0.278
1	2	P27	0	2	0.389
3	2	P27	0	2	0.307
5	2	P27	0	2	0.287
7	2	P27	0	2	0.259
8	2	P27	0	2	0.266
1	2	P27	16	1	0.364
3	2	P27	16	1	0.292
5	2	P27	16	1	0.285
7	2	P27	16	1	0.264
8	2	P27	16	1	0.286
1	2	P27	16	2	0.349
3	2	P27	16	2	0.262
5	2	P27	16	2	0.275
7	2	P27	16	2	0.278
8	2	P27	16	2	0.243
1	2	P27	64	1	0.33
3	2	P27	64	1	0.23
5	2	P27	64	1	0.272
7	2	P27	64	1	0.246
8	2	P27	64	1	0.246
1	2	P27	64	2	0.323
3	2	P27	64	2	0.227
5	2	P27	64	2	0.25
7	2	P27	64	2	0.249
8	2	P27	64	2	0.234
1	2	P27	256	1	0.306
3	2	P27	256	1	0.222
5	2	P27	256	1	0.258
7	2	P27	256	1	0.242
8	2	P27	256	1	0.252
1	2	P27	256	2	0.319
3	2	P27	256	2	0.236
5	2	P27	256	2	0.261
7	2	P27	256	2	0.236
8	2	P27	256	2	0.243
1	2	P28	0	1	0.358
3	2	P28	0	1	0.264
5	2	P28	0	1	0.262
7	2	P28	0	1	0.262
8	2	P28	0	1	0.236
1	2	P28	0	2	0.375
3	2	P28	0	2	0.243
5	2	P28	0	2	0.254
7	2	P28	0	2	0.246
8	2	P28	0	2	0.24
1	2	P28	16	1	0.355
3	2	P28	16	1	0.249
5	2	P28	16	1	0.26
7	2	P28	16	1	0.247
8	2	P28	16	1	0.236
1	2	P28	16	2	0.355
3	2	P28	16	2	0.235
5	2	P28	16	2	0.264
7	2	P28	16	2	0.253
8	2	P28	16	2	0.246
1	2	P28	64	1	0.345
3	2	P28	64	1	0.254
5	2	P28	64	1	0.253
7	2	P28	64	1	0.252
8	2	P28	64	1	0.247
1	2	P28	64	2	0.346
3	2	P28	64	2	0.241
5	2	P28	64	2	0.258
7	2	P28	64	2	0.247
8	2	P28	64	2	0.246
1	2	P28	256	1	0.347
3	2	P28	256	1	0.241
5	2	P28	256	1	0.27
7	2	P28	256	1	0.242
8	2	P28	256	1	0.238
1	2	P28	256	2	0.358
3	2	P28	256	2	0.24
5	2	P28	256	2	0.241
7	2	P28	256	2	0.242
8	2	P28	256	2	0.254
1	2	P29	0	1	0.95
3	2	P29	0	1	0.275
5	2	P29	0	1	0.293
7	2	P29	0	1	0.292
8	2	P29	0	1	0.279
1	2	P29	0	2	0.978
3	2	P29	0	2	0.307
5	2	P29	0	2	0.29
7	2	P29	0	2	0.28
8	2	P29	0	2	0.264
1	2	P29	16	1	0.875
3	2	P29	16	1	0.274
5	2	P29	16	1	0.296
7	2	P29	16	1	0.28
8	2	P29	16	1	0.276
1	2	P29	16	2	0.866
3	2	P29	16	2	0.267
5	2	P29	16	2	0.289
7	2	P29	16	2	0.286
8	2	P29	16	2	0.269
1	2	P29	64	1	0.949
3	2	P29	64	1	0.269
5	2	P29	64	1	0.285
7	2	P29	64	1	0.275
8	2	P29	64	1	0.265
1	2	P29	64	2	0.873
3	2	P29	64	2	0.269
5	2	P29	64	2	0.267
7	2	P29	64	2	0.285
8	2	P29	64	2	0.269
1	2	P29	256	1	0.745
3	2	P29	256	1	0.214
5	2	P29	256	1	0.236
7	2	P29	256	1	0.25
8	2	P29	256	1	0.271
1	2	P29	256	2	0.697
3	2	P29	256	2	0.244
5	2	P29	256	2	0.237
7	2	P29	256	2	0.251
8	2	P29	256	2	0.256
1	2	P30	0	1	0.584
3	2	P30	0	1	0.2
5	2	P30	0	1	0.226
7	2	P30	0	1	0.221
8	2	P30	0	1	0.214
1	2	P30	0	2	0.72
3	2	P30	0	2	0.293
5	2	P30	0	2	0.318
7	2	P30	0	2	0.31
8	2	P30	0	2	0.305
1	2	P30	16	1	0.668
3	2	P30	16	1	0.214
5	2	P30	16	1	0.225
7	2	P30	16	1	0.216
8	2	P30	16	1	0.215
1	2	P30	16	2	0.658
3	2	P30	16	2	0.203
5	2	P30	16	2	0.225
7	2	P30	16	2	0.219
8	2	P30	16	2	0.212
1	2	P30	64	1	0.627
3	2	P30	64	1	0.21
5	2	P30	64	1	0.217
7	2	P30	64	1	0.209
8	2	P30	64	1	0.207
1	2	P30	64	2	0.656
3	2	P30	64	2	0.208
5	2	P30	64	2	0.214
7	2	P30	64	2	0.205
8	2	P30	64	2	0.19
1	2	P30	256	1	0.459
3	2	P30	256	1	0.199
5	2	P30	256	1	0.214
7	2	P30	256	1	0.207
8	2	P30	256	1	0.21
1	2	P30	256	2	0.7
3	2	P30	256	2	0.207
5	2	P30	256	2	0.219
7	2	P30	256	2	0.206
8	2	P30	256	2	0.206
1	2	P31	0	1	0.831
3	2	P31	0	1	0.3
5	2	P31	0	1	0.31
7	2	P31	0	1	0.306
8	2	P31	0	1	0.313
1	2	P31	0	2	0.87
3	2	P31	0	2	0.291
5	2	P31	0	2	0.322
7	2	P31	0	2	0.274
8	2	P31	0	2	0.294
1	2	P31	16	1	0.263
3	2	P31	16	1	0.181
5	2	P31	16	1	0.265
7	2	P31	16	1	0.257
8	2	P31	16	1	0.27
1	2	P31	16	2	0.238
3	2	P31	16	2	0.149
5	2	P31	16	2	0.22
7	2	P31	16	2	0.268
8	2	P31	16	2	0.227
1	2	P31	64	1	0.236
3	2	P31	64	1	0.17
5	2	P31	64	1	0.188
7	2	P31	64	1	0.177
8	2	P31	64	1	0.176
1	2	P31	64	2	0.219
3	2	P31	64	2	0.162
5	2	P31	64	2	0.18
7	2	P31	64	2	0.169
8	2	P31	64	2	0.172
1	2	P31	256	1	0.228
3	2	P31	256	1	0.167
5	2	P31	256	1	0.173
7	2	P31	256	1	0.183
8	2	P31	256	1	0.178
1	2	P31	256	2	0.241
3	2	P31	256	2	0.164
5	2	P31	256	2	0.176
7	2	P31	256	2	0.179
8	2	P31	256	2	0.197
1	2	P32	0	1	0.772
3	2	P32	0	1	0.286
5	2	P32	0	1	0.259
7	2	P32	0	1	0.214
8	2	P32	0	1	0.253
1	2	P32	0	2	0.813
3	2	P32	0	2	0.266
5	2	P32	0	2	0.212
7	2	P32	0	2	0.246
8	2	P32	0	2	0.242
1	2	P32	16	1	0.737
3	2	P32	16	1	0.233
5	2	P32	16	1	0.221
7	2	P32	16	1	0.245
8	2	P32	16	1	0.242
1	2	P32	16	2	0.764
3	2	P32	16	2	0.239
5	2	P32	16	2	0.243
7	2	P32	16	2	0.291
8	2	P32	16	2	0.247
1	2	P32	64	1	0.722
3	2	P32	64	1	0.219
5	2	P32	64	1	0.276
7	2	P32	64	1	0.288
8	2	P32	64	1	0.239
1	2	P32	64	2	0.714
3	2	P32	64	2	0.324
5	2	P32	64	2	0.197
7	2	P32	64	2	0.205
8	2	P32	64	2	0.424
1	2	P32	256	1	0.672
3	2	P32	256	1	0.24
5	2	P32	256	1	0.236
7	2	P32	256	1	0.215
8	2	P32	256	1	0.243
1	2	P32	256	2	0.72
3	2	P32	256	2	0.231
5	2	P32	256	2	0.267
7	2	P32	256	2	0.273
8	2	P32	256	2	0.251
1	2	P33	0	1	0.373
3	2	P33	0	1	0.267
5	2	P33	0	1	0.282
7	2	P33	0	1	0.276
8	2	P33	0	1	0.267
1	2	P33	0	2	0.378
3	2	P33	0	2	0.311
5	2	P33	0	2	0.279
7	2	P33	0	2	0.268
8	2	P33	0	2	0.249
1	2	P33	16	1	0.36
3	2	P33	16	1	0.27
5	2	P33	16	1	0.292
7	2	P33	16	1	0.268
8	2	P33	16	1	0.279
1	2	P33	16	2	0.319
3	2	P33	16	2	0.267
5	2	P33	16	2	0.28
7	2	P33	16	2	0.28
8	2	P33	16	2	0.271
1	2	P33	64	1	0.339
3	2	P33	64	1	0.272
5	2	P33	64	1	0.279
7	2	P33	64	1	0.273
8	2	P33	64	1	0.245
1	2	P33	64	2	0.346
3	2	P33	64	2	0.259
5	2	P33	64	2	0.273
7	2	P33	64	2	0.285
8	2	P33	64	2	0.258
1	2	P33	256	1	0.318
3	2	P33	256	1	0.311
5	2	P33	256	1	0.276
7	2	P33	256	1	0.277
8	2	P33	256	1	0.281
1	2	P33	256	2	0.37
3	2	P33	256	2	0.265
5	2	P33	256	2	0.292
7	2	P33	256	2	0.278
8	2	P33	256	2	0.275
1	2	P34	0	1	0.378
3	2	P34	0	1	0.294
5	2	P34	0	1	0.282
7	2	P34	0	1	0.281
8	2	P34	0	1	0.265
1	2	P34	0	2	0.37
3	2	P34	0	2	0.269
5	2	P34	0	2	0.267
7	2	P34	0	2	0.271
8	2	P34	0	2	0.26
1	2	P34	16	1	0.358
3	2	P34	16	1	0.277
5	2	P34	16	1	0.278
7	2	P34	16	1	0.258
8	2	P34	16	1	0.271
1	2	P34	16	2	0.346
3	2	P34	16	2	0.273
5	2	P34	16	2	0.283
7	2	P34	16	2	0.288
8	2	P34	16	2	0.266
1	2	P34	64	1	0.345
3	2	P34	64	1	0.279
5	2	P34	64	1	0.266
7	2	P34	64	1	0.268
8	2	P34	64	1	0.27
1	2	P34	64	2	0.355
3	2	P34	64	2	0.258
5	2	P34	64	2	0.266
7	2	P34	64	2	0.273
8	2	P34	64	2	0.261
1	2	P34	256	1	0.347
3	2	P34	256	1	0.243
5	2	P34	256	1	0.268
7	2	P34	256	1	0.275
8	2	P34	256	1	0.275
1	2	P34	256	2	0.371
3	2	P34	256	2	0.266
5	2	P34	256	2	0.289
7	2	P34	256	2	0.28
8	2	P34	256	2	0.276
1	2	P35	0	1	0.915
3	2	P35	0	1	0.272
5	2	P35	0	1	0.286
7	2	P35	0	1	0.294
8	2	P35	0	1	0.27
1	2	P35	0	2	0.996
3	2	P35	0	2	0.309
5	2	P35	0	2	0.29
7	2	P35	0	2	0.283
8	2	P35	0	2	0.264
1	2	P35	16	1	0.89
3	2	P35	16	1	0.276
5	2	P35	16	1	0.297
7	2	P35	16	1	0.301
8	2	P35	16	1	0.275
1	2	P35	16	2	0.71
3	2	P35	16	2	0.268
5	2	P35	16	2	0.303
7	2	P35	16	2	0.286
8	2	P35	16	2	0.263
1	2	P35	64	1	0.9
3	2	P35	64	1	0.269
5	2	P35	64	1	0.286
7	2	P35	64	1	0.275
8	2	P35	64	1	0.256
1	2	P35	64	2	0.862
3	2	P35	64	2	0.275
5	2	P35	64	2	0.274
7	2	P35	64	2	0.287
8	2	P35	64	2	0.263
1	2	P35	256	1	0.731
3	2	P35	256	1	0.221
5	2	P35	256	1	0.229
7	2	P35	256	1	0.255
8	2	P35	256	1	0.27
1	2	P35	256	2	0.79
3	2	P35	256	2	0.23
5	2	P35	256	2	0.236
7	2	P35	256	2	0.252
8	2	P35	256	2	0.254
1	2	P36	0	1	0.586
3	2	P36	0	1	0.215
5	2	P36	0	1	0.241
7	2	P36	0	1	0.234
8	2	P36	0	1	0.216
1	2	P36	0	2	0.737
3	2	P36	0	2	0.287
5	2	P36	0	2	0.217
7	2	P36	0	2	0.233
8	2	P36	0	2	0.257
1	2	P36	16	1	0.689
3	2	P36	16	1	0.283
5	2	P36	16	1	0.286
7	2	P36	16	1	0.269
8	2	P36	16	1	0.281
1	2	P36	16	2	0.524
3	2	P36	16	2	0.271
5	2	P36	16	2	0.295
7	2	P36	16	2	0.287
8	2	P36	16	2	0.272
1	2	P36	64	1	0.662
3	2	P36	64	1	0.282
5	2	P36	64	1	0.292
7	2	P36	64	1	0.274
8	2	P36	64	1	0.243
1	2	P36	64	2	0.653
3	2	P36	64	2	0.273
5	2	P36	64	2	0.275
7	2	P36	64	2	0.242
8	2	P36	64	2	0.277
1	2	P36	256	1	0.57
3	2	P36	256	1	0.264
5	2	P36	256	1	0.289
7	2	P36	256	1	0.274
8	2	P36	256	1	0.271
1	2	P36	256	2	0.716
3	2	P36	256	2	0.274
5	2	P36	256	2	0.279
7	2	P36	256	2	0.267
8	2	P36	256	2	0.278
1	2	P37	0	1	0.693
3	2	P37	0	1	0.306
5	2	P37	0	1	0.333
7	2	P37	0	1	0.332
8	2	P37	0	1	0.33
1	2	P37	0	2	0.833
3	2	P37	0	2	0.311
5	2	P37	0	2	0.323
7	2	P37	0	2	0.319
8	2	P37	0	2	0.3
1	2	P37	16	1	0.618
3	2	P37	16	1	0.281
5	2	P37	16	1	0.305
7	2	P37	16	1	0.287
8	2	P37	16	1	0.284
1	2	P37	16	2	0.944
3	2	P37	16	2	0.28
5	2	P37	16	2	0.302
7	2	P37	16	2	0.3
8	2	P37	16	2	0.285
1	2	P37	64	1	0.844
3	2	P37	64	1	0.268
5	2	P37	64	1	0.296
7	2	P37	64	1	0.285
8	2	P37	64	1	0.268
1	2	P37	64	2	0.656
3	2	P37	64	2	0.27
5	2	P37	64	2	0.284
7	2	P37	64	2	0.276
8	2	P37	64	2	0.261
1	2	P37	256	1	0.598
3	2	P37	256	1	0.216
5	2	P37	256	1	0.258
7	2	P37	256	1	0.265
8	2	P37	256	1	0.261
1	2	P37	256	2	0.842
3	2	P37	256	2	0.227
5	2	P37	256	2	0.266
7	2	P37	256	2	0.269
8	2	P37	256	2	0.269
1	2	P38	0	1	0.861
3	2	P38	0	1	0.298
5	2	P38	0	1	0.322
7	2	P38	0	1	0.32
8	2	P38	0	1	0.312
1	2	P38	0	2	0.851
3	2	P38	0	2	0.304
5	2	P38	0	2	0.294
7	2	P38	0	2	0.302
8	2	P38	0	2	0.288
1	2	P38	16	1	0.711
3	2	P38	16	1	0.291
5	2	P38	16	1	0.322
7	2	P38	16	1	0.297
8	2	P38	16	1	0.312
1	2	P38	16	2	0.724
3	2	P38	16	2	0.298
5	2	P38	16	2	0.319
7	2	P38	16	2	0.314
8	2	P38	16	2	0.301
1	2	P38	64	1	0.643
3	2	P38	64	1	0.291
5	2	P38	64	1	0.307
7	2	P38	64	1	0.302
8	2	P38	64	1	0.293
1	2	P38	64	2	0.858
3	2	P38	64	2	0.275
5	2	P38	64	2	0.272
7	2	P38	64	2	0.273
8	2	P38	64	2	0.239
1	2	P38	256	1	0.815
3	2	P38	256	1	0.242
5	2	P38	256	1	0.291
7	2	P38	256	1	0.292
8	2	P38	256	1	0.298
1	2	P38	256	2	0.808
3	2	P38	256	2	0.263
5	2	P38	256	2	0.292
7	2	P38	256	2	0.294
8	2	P38	256	2	0.295
1	2	P39	0	1	0.932
3	2	P39	0	1	0.308
5	2	P39	0	1	0.34
7	2	P39	0	1	0.327
8	2	P39	0	1	0.33
1	2	P39	0	2	0.911
3	2	P39	0	2	0.355
5	2	P39	0	2	0.345
7	2	P39	0	2	0.326
8	2	P39	0	2	0.311
1	2	P39	16	1	0.865
3	2	P39	16	1	0.333
5	2	P39	16	1	0.343
7	2	P39	16	1	0.334
8	2	P39	16	1	0.324
1	2	P39	16	2	0.848
3	2	P39	16	2	0.313
5	2	P39	16	2	0.339
7	2	P39	16	2	0.338
8	2	P39	16	2	0.322
1	2	P39	64	1	0.793
3	2	P39	64	1	0.267
5	2	P39	64	1	0.286
7	2	P39	64	1	0.275
8	2	P39	64	1	0.259
1	2	P39	64	2	0.867
3	2	P39	64	2	0.262
5	2	P39	64	2	0.275
7	2	P39	64	2	0.286
8	2	P39	64	2	0.287
1	2	P39	256	1	0.818
3	2	P39	256	1	0.227
5	2	P39	256	1	0.242
7	2	P39	256	1	0.258
8	2	P39	256	1	0.281
1	2	P39	256	2	0.863
3	2	P39	256	2	0.231
5	2	P39	256	2	0.256
7	2	P39	256	2	0.259
8	2	P39	256	2	0.248
1	2	P40	0	1	0.834
3	2	P40	0	1	0.289
5	2	P40	0	1	0.317
7	2	P40	0	1	0.322
8	2	P40	0	1	0.307
1	2	P40	0	2	0.851
3	2	P40	0	2	0.321
5	2	P40	0	2	0.334
7	2	P40	0	2	0.324
8	2	P40	0	2	0.307
1	2	P40	16	1	0.833
3	2	P40	16	1	0.319
5	2	P40	16	1	0.337
7	2	P40	16	1	0.325
8	2	P40	16	1	0.316
1	2	P40	16	2	0.735
3	2	P40	16	2	0.311
5	2	P40	16	2	0.328
7	2	P40	16	2	0.321
8	2	P40	16	2	0.316
1	2	P40	64	1	0.802
3	2	P40	64	1	0.311
5	2	P40	64	1	0.325
7	2	P40	64	1	0.314
8	2	P40	64	1	0.307
1	2	P40	64	2	0.757
3	2	P40	64	2	0.304
5	2	P40	64	2	0.319
7	2	P40	64	2	0.313
8	2	P40	64	2	0.301
1	2	P40	256	1	0.723
3	2	P40	256	1	0.229
5	2	P40	256	1	0.282
7	2	P40	256	1	0.293
8	2	P40	256	1	0.298
1	2	P40	256	2	0.795
3	2	P40	256	2	0.257
5	2	P40	256	2	0.29
7	2	P40	256	2	0.296
8	2	P40	256	2	0.29
1	2	P41	0	1	0.6
3	2	P41	0	1	0.293
5	2	P41	0	1	0.343
7	2	P41	0	1	0.345
8	2	P41	0	1	0.332
1	2	P41	0	2	0.878
3	2	P41	0	2	0.328
5	2	P41	0	2	0.338
7	2	P41	0	2	0.338
8	2	P41	0	2	0.326
1	2	P41	16	1	0.671
3	2	P41	16	1	0.201
5	2	P41	16	1	0.295
7	2	P41	16	1	0.306
8	2	P41	16	1	0.326
1	2	P41	16	2	0.687
3	2	P41	16	2	0.216
5	2	P41	16	2	0.232
7	2	P41	16	2	0.228
8	2	P41	16	2	0.224
1	2	P41	64	1	0.666
3	2	P41	64	1	0.202
5	2	P41	64	1	0.227
7	2	P41	64	1	0.222
8	2	P41	64	1	0.214
1	2	P41	64	2	0.652
3	2	P41	64	2	0.222
5	2	P41	64	2	0.226
7	2	P41	64	2	0.216
8	2	P41	64	2	0.215
1	2	P41	256	1	0.644
3	2	P41	256	1	0.221
5	2	P41	256	1	0.224
7	2	P41	256	1	0.216
8	2	P41	256	1	0.217
1	2	P41	256	2	0.72
3	2	P41	256	2	0.214
5	2	P41	256	2	0.225
7	2	P41	256	2	0.214
8	2	P41	256	2	0.24
1	2	P42	0	1	1.031
3	2	P42	0	1	0.271
5	2	P42	0	1	0.307
7	2	P42	0	1	0.31
8	2	P42	0	1	0.312
1	2	P42	0	2	0.663
3	2	P42	0	2	0.256
5	2	P42	0	2	0.302
7	2	P42	0	2	0.29
8	2	P42	0	2	0.284
1	2	P42	16	1	0.586
3	2	P42	16	1	0.264
5	2	P42	16	1	0.302
7	2	P42	16	1	0.271
8	2	P42	16	1	0.288
1	2	P42	16	2	0.634
3	2	P42	16	2	0.276
5	2	P42	16	2	0.296
7	2	P42	16	2	0.296
8	2	P42	16	2	0.283
1	2	P42	64	1	0.706
3	2	P42	64	1	0.268
5	2	P42	64	1	0.318
7	2	P42	64	1	0.293
8	2	P42	64	1	0.282
1	2	P42	64	2	0.735
3	2	P42	64	2	0.272
5	2	P42	64	2	0.265
7	2	P42	64	2	0.296
8	2	P42	64	2	0.285
1	2	P42	256	1	0.724
3	2	P42	256	1	0.261
5	2	P42	256	1	0.296
7	2	P42	256	1	0.285
8	2	P42	256	1	0.3
1	2	P42	256	2	0.669
3	2	P42	256	2	0.264
5	2	P42	256	2	0.257
7	2	P42	256	2	0.286
8	2	P42	256	2	0.263
1	2	P43	0	1	0.715
3	2	P43	0	1	0.315
5	2	P43	0	1	0.368
7	2	P43	0	1	0.359
8	2	P43	0	1	0.358
1	2	P43	0	2	0.74
3	2	P43	0	2	0.373
5	2	P43	0	2	0.369
7	2	P43	0	2	0.356
8	2	P43	0	2	0.34
1	2	P43	16	1	0.697
3	2	P43	16	1	0.231
5	2	P43	16	1	0.257
7	2	P43	16	1	0.26
8	2	P43	16	1	0.264
1	2	P43	16	2	0.661
3	2	P43	16	2	0.241
5	2	P43	16	2	0.263
7	2	P43	16	2	0.27
8	2	P43	16	2	0.267
1	2	P43	64	1	0.65
3	2	P43	64	1	0.236
5	2	P43	64	1	0.264
7	2	P43	64	1	0.26
8	2	P43	64	1	0.249
1	2	P43	64	2	0.674
3	2	P43	64	2	0.237
5	2	P43	64	2	0.256
7	2	P43	64	2	0.271
8	2	P43	64	2	0.25
1	2	P43	256	1	0.644
3	2	P43	256	1	0.201
5	2	P43	256	1	0.219
7	2	P43	256	1	0.208
8	2	P43	256	1	0.222
1	2	P43	256	2	0.718
3	2	P43	256	2	0.207
5	2	P43	256	2	0.214
7	2	P43	256	2	0.21
8	2	P43	256	2	0.209
1	2	P44	0	1	0.577
3	2	P44	0	1	0.221
5	2	P44	0	1	0.342
7	2	P44	0	1	0.359
8	2	P44	0	1	0.341
1	2	P44	0	2	0.674
3	2	P44	0	2	0.284
5	2	P44	0	2	0.337
7	2	P44	0	2	0.343
8	2	P44	0	2	0.332
1	2	P44	16	1	0.646
3	2	P44	16	1	0.246
5	2	P44	16	1	0.271
7	2	P44	16	1	0.255
8	2	P44	16	1	0.258
1	2	P44	16	2	0.631
3	2	P44	16	2	0.23
5	2	P44	16	2	0.264
7	2	P44	16	2	0.267
8	2	P44	16	2	0.252
1	2	P44	64	1	0.578
3	2	P44	64	1	0.244
5	2	P44	64	1	0.26
7	2	P44	64	1	0.246
8	2	P44	64	1	0.242
1	2	P44	64	2	0.594
3	2	P44	64	2	0.234
5	2	P44	64	2	0.245
7	2	P44	64	2	0.263
8	2	P44	64	2	0.248
1	2	P44	256	1	0.638
3	2	P44	256	1	0.222
5	2	P44	256	1	0.255
7	2	P44	256	1	0.247
8	2	P44	256	1	0.259
1	2	P44	256	2	0.668
3	2	P44	256	2	0.238
5	2	P44	256	2	0.261
7	2	P44	256	2	0.188
8	2	P44	256	2	0.211
1	2	P45	0	1	0.952
3	2	P45	0	1	0.347
5	2	P45	0	1	0.354
7	2	P45	0	1	0.364
8	2	P45	0	1	0.363
1	2	P45	0	2	0.929
3	2	P45	0	2	0.352
5	2	P45	0	2	0.361
7	2	P45	0	2	0.356
8	2	P45	0	2	0.366
1	2	P45	16	1	0.611
3	2	P45	16	1	0.273
5	2	P45	16	1	0.276
7	2	P45	16	1	0.302
8	2	P45	16	1	0.335
1	2	P45	16	2	0.688
3	2	P45	16	2	0.271
5	2	P45	16	2	0.28
7	2	P45	16	2	0.327
8	2	P45	16	2	0.335
1	2	P45	64	1	0.33
3	2	P45	64	1	0.248
5	2	P45	64	1	0.272
7	2	P45	64	1	0.286
8	2	P45	64	1	0.288
1	2	P45	64	2	0.332
3	2	P45	64	2	0.253
5	2	P45	64	2	0.252
7	2	P45	64	2	0.253
8	2	P45	64	2	0.243
1	2	P45	256	1	0.309
3	2	P45	256	1	0.234
5	2	P45	256	1	0.259
7	2	P45	256	1	0.245
8	2	P45	256	1	0.253
1	2	P45	256	2	0.32
3	2	P45	256	2	0.203
5	2	P45	256	2	0.248
7	2	P45	256	2	0.242
8	2	P45	256	2	0.282
1	2	P46	0	1	0.872
3	2	P46	0	1	0.313
5	2	P46	0	1	0.345
7	2	P46	0	1	0.332
8	2	P46	0	1	0.344
1	2	P46	0	2	0.906
3	2	P46	0	2	0.319
5	2	P46	0	2	0.317
7	2	P46	0	2	0.326
8	2	P46	0	2	0.316
1	2	P46	16	1	0.852
3	2	P46	16	1	0.323
5	2	P46	16	1	0.33
7	2	P46	16	1	0.321
8	2	P46	16	1	0.323
1	2	P46	16	2	0.798
3	2	P46	16	2	0.325
5	2	P46	16	2	0.327
7	2	P46	16	2	0.335
8	2	P46	16	2	0.328
1	2	P46	64	1	0.705
3	2	P46	64	1	0.319
5	2	P46	64	1	0.328
7	2	P46	64	1	0.326
8	2	P46	64	1	0.317
1	2	P46	64	2	0.69
3	2	P46	64	2	0.308
5	2	P46	64	2	0.317
7	2	P46	64	2	0.327
8	2	P46	64	2	0.294
1	2	P46	256	1	0.687
3	2	P46	256	1	0.293
5	2	P46	256	1	0.332
7	2	P46	256	1	0.316
8	2	P46	256	1	0.324
1	2	P46	256	2	0.654
3	2	P46	256	2	0.303
5	2	P46	256	2	0.31
7	2	P46	256	2	0.315
8	2	P46	256	2	0.325
1	2	P47	0	1	0.926
3	2	P47	0	1	0.335
5	2	P47	0	1	0.341
7	2	P47	0	1	0.359
8	2	P47	0	1	0.342
1	2	P47	0	2	0.974
3	2	P47	0	2	0.347
5	2	P47	0	2	0.355
7	2	P47	0	2	0.35
8	2	P47	0	2	0.35
1	2	P47	16	1	0.315
3	2	P47	16	1	0.255
